text,sentiment,source,theme
"not interactive 
can leave or take off whenever as long as you have time 
easy work inhumane 
draining physically &amp; mentally",positive,Glassdoor,Burnout
"good and easy work enviorment Sticks rules and completing targets any how, otherwise get warning",positive,Glassdoor,Training Gaps
"help to grow , good pay , limited opportunities for advancement,No clear path for promotion",positive,Glassdoor,General Experience
"Plenty of work
Meet new people Tough on the body
Labor intensive",negative,Glassdoor,Burnout
"Good Holiday pay 
Additional benefits for permanent employees Not hiring permanent employees directly",positive,Glassdoor,Scheduling Issues
"Nice people, Great pay and benefits. management does not care about its employees. hours are way to long.",positive,Glassdoor,Scheduling Issues
"learn lift trucks, pallet jack, flex schedule/ Shifts fast paced working environment, weight lifting",neutral,Glassdoor,Scheduling Issues
decent work that wasnt too miserable people in charge wasnt very good,positive,Glassdoor,General Experience
"Good pay, not too long hours Management absolutely is terrible at communicating",negative,Glassdoor,Burnout
"Workout and regularly routine habit More work life,  less sleep .",neutral,Glassdoor,General Experience
"Tuition reimbursement 
Schedule flexibility 
Benefits
Salary
Overtime opportunities Standing +10 hours
Noise
Safety hazards 
Overworking
Get write ups for not meeting their rate expectations",positive,Glassdoor,Scheduling Issues
The benefits are great and start immediately The workplace culture is bad,positive,Glassdoor,General Experience
"good pay
stress-free
hard working night-shift
overtime
no cons at all",negative,Glassdoor,Scheduling Issues
"4 day weeks, good benefits. OT usually available Its a physical job so prepare to be tired.",neutral,Glassdoor,Burnout
A good reference for previous work. No cons to my knowledge.,neutral,Glassdoor,General Experience
"most of the people were great fired without notification, one day my badge just didnt work, wasting my time and my bus fare",positive,Glassdoor,General Experience
"Quality work
Lot to learn No contract extenscion
Hard to find anything in Amazon again",negative,Glassdoor,Training Gaps
nice to start for students not for long term job,positive,Glassdoor,General Experience
flexible schedule if you are felx work can feel repetitive and boring,negative,Glassdoor,Scheduling Issues
"Nice place to work
Nice hours for night shift 6:30pm-5am
UPT PTO and Vacation There is favoritism- like any other job.",positive,Glassdoor,Scheduling Issues
During peak season good pay and great hours When peak season over it leave you struggling,positive,Glassdoor,Scheduling Issues
"Good pay for a process assistant. bit stressful, to be honest, as we have a tight workload in our station.",negative,Glassdoor,General Experience
"Die Bezahlung und die berufliche Entwicklung, die man durch die Begegnung mit vielen Menschen und das Erlernen neuer Prozesse erfährt. In dieser FC werden Mitarbeiter und Neueinstellungen wie Nummern behandelt, und sie versuchen, dich loszuwerden, wenn du ihren toxischen Standards nicht mit den niedrigsten Manieren gerecht wirst.",negative,Glassdoor,General Experience
"Wage increase 3, 6, 12 month and so on.

Great Full-time benefits 

Work Perks and Discount through Venngo Warehouse (repetitive work and corporation like layout) dull.. but great people and management",positive,Glassdoor,Burnout
Good wages as a Warehouse associate working environment gets a little bit noisy,negative,Glassdoor,General Experience
"Always hours available, anytime pay Long hours, minimal light, will write you up for bathroom breaks, mandatory overtime with little to no heads up. This place drains you emotionally and physically.",neutral,Glassdoor,Scheduling Issues
Easy starter job to work at Can be fast paced and employment depends on management,positive,Glassdoor,General Experience
"Seguridad, compañerismo, comodidad, rotativos, adaptabilidad Trabajo cansado, fines de semana, no posibilidad de cobrar más",neutral,Glassdoor,General Experience
benefits and not bad pay no cons it was easy work people just complain,positive,Glassdoor,General Experience
"Flexible Schedule
4 day/10 hour shifts
Low Stress Environment
Frequent Overtime Opportunity Monotonous Work
Not Particularly Rewarding Work
Work Can Become Slow from January to May",positive,Glassdoor,Scheduling Issues
"Buen sueldo, ambiente laboral agradable, respeto por las normas de seguridad Descanso muy corto, muchos jefes por lo que las ordenes pueden variar de uno a otro y puede confundir al empleado.",neutral,Glassdoor,Burnout
"Best in class work environment
Experience working in robotic environment
Competitive work benefits and accommodations Too much physical work with not much of Job security
Pressure for target work negatively impact physical and mental health
Biased leadership - does not justify experience skills or ability but personal connections and nepotism works more for training promotion and preferred job roles",positive,Glassdoor,Training Gaps
"Good benefits, decent time off opportunities. Automatic hire without an interview. Management will move you around the building a lot. I was a top performer in order picking and was moved to pack nearly every day.",positive,Glassdoor,Scheduling Issues
They pay for you if you want to go to college. it's just a lot of work you have to do,neutral,Glassdoor,General Experience
"Good pay and benefits
Good people 
Safety first Biased management 
Work like robots
No growth/opportunities",positive,Glassdoor,General Experience
It was close to home Gloves were not strong enough,positive,Glassdoor,General Experience
Good experience for fresh college graduate very loud noise in Fulfillment center,positive,Glassdoor,General Experience
#NAME? #NAME?,neutral,Glassdoor,General Experience
"Good work culture and pay also
events for extracurriculam activity Quiet racist because most employee is belong from one group or race",negative,Glassdoor,General Experience
Work life balance and benefits Mandatory extra time is required,positive,Glassdoor,Scheduling Issues
The pay and benefits are really good Toxic work environment and favoritism,positive,Glassdoor,General Experience
"Attractive pay , Employee Benefits Contractual basis hiring based on business need",positive,Glassdoor,General Experience
"Muy Buenos beneficios.
Exelente ambiente de trabajo.
Ambiente de trabajo muy seguro.
Posibilidad de hacer carrera dentro de la empresa. Salario no esta mal, pero se podría mejorar mucho más para el trabajo que se hace allí.
Horarios rotativos (no te permite crear hábitos saludables ya que constantemente estás cambiando tu rutina diaria).
Trabajo fines de semana.
Trabajo muy repetitivo..",neutral,Glassdoor,General Experience
"Pay is comparable for ops poor work life balance, lack of leadership, very stressful job. No clear way for promotion or anyone to help you get there.",negative,Glassdoor,General Experience
"Career Choice program is a great way to start new career.
Good benefits Co-workers speak in non English to each other infront of you.",positive,Glassdoor,General Experience
Room to excel in your position Extra shifts are never available,positive,Glassdoor,Scheduling Issues
Choose own hours and the work is not bad once you get use to it Could be moved around a lot depending on different departments and sometimes hard to find shifts that you want to work in,neutral,Glassdoor,Scheduling Issues
"Pay and Benefits they provide like maternity, accommodation, insurance Work-life balance, Continuous work without sitting, almost all location with no public transportation, lack of chance in promotion and new skills as they show they are giving fair chance to everyone but it's not true at ground level. The people of certain community especially punjabi's got promotions at HR, PA and Manager level. Lack of support from HR as they are not giving proper information when you actually need. Safety at ground level is compromised by managers bcz they want more productivity to get promotion. The people who always praised their managers got extra-benefits on work and able to learn new skills than other hard-working associates",positive,Glassdoor,Training Gaps
I got plenty of time off for mental stuff when I needed it when other places would have fired me Then again.. this company might've contributed alot to why I needed so much time off lmao,neutral,Glassdoor,Scheduling Issues
Great experience because I got to see the warehouse built from ground up. Became repetitive at some point.,positive,Glassdoor,General Experience
"A bit of learning if you are at the right place and the right team or assigned the right team member as a mentor. Don't bother joining IT though, there are no financial perks in it since they don't have casual/contract roles. The contract is cleverly worded to get you to work on weekends/night shifts without offering weekend/night shift allowances. No on-call pay either but they do reimburse *mobile bills*.
I have seen this culture in all departments and more so in IT.
Excessive flattery towards leadership, playing office politics, Seeking favoritism from leadership, appeasing leadership for personal gain, unhealthy admiration of authority, prioritizing leadership approval over team collaboration, performing for leadership rather than contributing meaningfully, Dysfunctional work environment, Hostile workplace dynamics, Unhealthy team culture, Negative organizational climate, Counterproductive work atmosphere, Culture of fear and favoritism, Lack of psychological safety in the workplace, Unprofessional and unsupportive work environment, Workplace toxicity and favoritism.",neutral,Glassdoor,Scheduling Issues
Good place to work for lots of hours and keep you busy no down time . Cons low pay no insurance temp service position,negative,Glassdoor,Scheduling Issues
"Stocks given as bonuses, but they take 3-4 years to fully vest so can be a negative. The expectation is to work 7 days per week and always be available via phone. Even if you work 12 hours more is expected once you’re home. 
Upper management promotions should be based on achievements and how your team response to you, not being a ‘yes man’ The last GM/AGM were extremely unethical and only promoted people who would lie for them and they also fudged numbers",negative,Glassdoor,Scheduling Issues
"Easy job, and can move up if desired physically demanding
only care about rates",positive,Glassdoor,Burnout
"Competitive pay and benefits
Opportunity for career growth
Fast-paced and active work environment
Team-oriented workplace culture
Training provided, no experience required Repetitive tasks can be exhausting",positive,Glassdoor,Training Gaps
insane scope and opportunities- perks of being a part of huge company untalented people in Sr positions that have gone far playing politics. Hard to advance if you don't have an agreeable personanlity,positive,Glassdoor,General Experience
"Pay, peak time/bonus pay+hours, chill staff The labor and the lack of available resources/people for workers requests, troubles with job or app/pay.",negative,Glassdoor,Burnout
Flexible schedule adjust your time Too much competition sometimes you gotta lower your prices so much to get more deal but not good profit,positive,Glassdoor,Scheduling Issues
"Good working environment
Good pay Heavy lifting . Sometimes can be stressful",negative,Glassdoor,Burnout
It is the easiest job I ever had. They can get rid of you whenever they want.,positive,Glassdoor,General Experience
"Très bonne école
salaires généreux et CB avantageux demande un investissement personnel important,",positive,Glassdoor,General Experience
"Angemessen bezahlt und es gibt kein Dresscode bis auf Stahlkappenschuhe Verbot Die Security nervt ( ich weiß jemand von denen hat einen Sender ) von dem Magnet Tor wo man rein und raus geht 🤔.... 
Das Tor hat sogar dann gepiepst als ich 0 % Metal an hatte 😪",negative,Glassdoor,General Experience
#NAME? #NAME?,neutral,Glassdoor,General Experience
"Growth &amp; Development
Relationships
Innovation
Fun
The Actual Work is Awesome The cons are the same as they would be at any job.",positive,Glassdoor,General Experience
"Good benefits 
Environment
Team work 
Great pay I don’t think there is any downside",positive,Glassdoor,General Experience
"Needed a job fast, onboarding was fast, skills requirements low, pay was at a local average. It was fun to work at a robotics fulfillment center Metrics are always a part of their work experience. Day to day optimizations, PAs always coming by to give you feedback can make it seem like all that matters is your numbers. Focus on your numbers and output, focus focus focus. Problem for me was that even though I could do great and kept a high quality, maintaining that speed and quality was really draining, especially at 10 hour shifts in an industrial environment with literally only your 2 (sometimes none) neighbors to talk to to pass the long day of repetitive tasks. That's another thing, the physical and mental aspect of the repetitious task is not just mentally draining, but despite their regular safety meetings, warnings, and signs plastered all over the place, there's so much pressure to increase performance consistently that lots of people are cutting corners just to keep from getting canned. I myself ended up with a repetitive motion injury in my hand due to pulling items out of cubbies and it's basically already covered by their policies so there's nothing to do but grin and bear it. My recommendation? Educate yourself on the safety policies, speak up loudly and frequently in group settings when you feel something isn't safe (to keep leadership accountable) and don't push yourself physically to meet your numbers. It's difficult when you've got bills to pay but not worth your long term mobility and health. Build your skills and find work with another company that respects your body more.",positive,Glassdoor,Burnout
Good work and lot to learn Too much work and no work life balance,neutral,Glassdoor,Training Gaps
"Good pay, shift options and benefits Not being able to train well their employees",positive,Glassdoor,Scheduling Issues
"The benefits and how the Amazon AtoZ app worked was all great. It was so thorough and simple, and the work was repetitive but made time fly by. There was a decent bit of people up there that didn’t speak much English and it would be hard to communicate with them sometimes, but everyone was helpful when needed.",positive,Glassdoor,Burnout
"Good pay and benefits for the interns Since the site is 24 hours, you may get the night shift",positive,Glassdoor,Scheduling Issues
Daytime hours good for work/life balance Nighttime shift is an absolute mess,negative,Glassdoor,Scheduling Issues
hands on work with real experience managing associates overwork the interns like an associate if you don't differentiate yourself or advocate for work,neutral,Glassdoor,General Experience
